patch,fold,method,normalised_mae
1,0,anatomy_residual,0.16230196051871848
1,0,axisymmetric_residual,0.15504699431150676
1,0,local_depth_background,0.1404684601113172
1,0,oracle_centred_residual,0.1125632907077833
1,0,raw_population,0.18073572688812928
1,1,anatomy_residual,0.15357050545863496
1,1,axisymmetric_residual,0.14372595226859636
1,1,local_depth_background,0.12640747165376687
1,1,oracle_centred_residual,0.1091134756543539
1,1,raw_population,0.17616512764041953
1,2,anatomy_residual,0.1602414227136731
1,2,axisymmetric_residual,0.1548456680588799
1,2,local_depth_background,0.13037906347188483
1,2,oracle_centred_residual,0.09722018226726689
1,2,raw_population,0.1699371121365894
1,3,anatomy_residual,0.1674165804635418
1,3,axisymmetric_residual,0.1647932928664329
1,3,local_depth_background,0.1514538304773386
1,3,oracle_centred_residual,0.1195165896274046
1,3,raw_population,0.180695536549991
1,4,anatomy_residual,0.15556466600589364
1,4,axisymmetric_residual,0.14797169457871479
1,4,local_depth_background,0.14394670025163508
1,4,oracle_centred_residual,0.08847702502325935
1,4,raw_population,0.17560521682107116
2,0,anatomy_residual,0.16636405615956812
2,0,axisymmetric_residual,0.17030429407256187
2,0,local_depth_background,0.1676777902268743
2,0,oracle_centred_residual,0.1393477115571961
2,0,raw_population,0.23227862835979246
2,1,anatomy_residual,0.1590240608601789
2,1,axisymmetric_residual,0.14497971693668704
2,1,local_depth_background,0.13203767664470045
2,1,oracle_centred_residual,0.1385026896875901
2,1,raw_population,0.18766223434619056
2,2,anatomy_residual,0.15847099311874374
2,2,axisymmetric_residual,0.1518514365685971
2,2,local_depth_background,0.14192976745002475
2,2,oracle_centred_residual,0.11216132592646824
2,2,raw_population,0.18703625874770724
2,3,anatomy_residual,0.1635314795035972
2,3,axisymmetric_residual,0.1575401148480319
2,3,local_depth_background,0.1387995032037711
2,3,oracle_centred_residual,0.1110474747360746
2,3,raw_population,0.2084968843853533
2,4,anatomy_residual,0.17303972440147075
2,4,axisymmetric_residual,0.16766920959692438
2,4,local_depth_background,0.1495265761807115
2,4,oracle_centred_residual,0.10967961166437525
2,4,raw_population,0.21523716751408617
3,0,anatomy_residual,0.19988566177932626
3,0,axisymmetric_residual,0.20533431598205926
3,0,local_depth_background,0.20231218607514684
3,0,oracle_centred_residual,0.21866873546205196
3,0,raw_population,0.20797811303178315
3,1,anatomy_residual,0.2278897136822584
3,1,axisymmetric_residual,0.2099458553577409
3,1,local_depth_background,0.2092039196631033
3,1,oracle_centred_residual,0.2293730361352498
3,1,raw_population,0.264393162702601
3,2,anatomy_residual,0.3183196558371581
3,2,axisymmetric_residual,0.2658313881785115
3,2,local_depth_background,0.2617046818727491
3,2,oracle_centred_residual,0.2555415791830275
3,2,raw_population,0.6072766654775615
3,3,anatomy_residual,0.246282871117869
3,3,axisymmetric_residual,0.2369517402258949
3,3,local_depth_background,0.2256590136054422
3,3,oracle_centred_residual,0.2316364123752024
3,3,raw_population,0.2626251606854656
3,4,anatomy_residual,0.2090991088258561
3,4,axisymmetric_residual,0.1976794642134484
3,4,local_depth_background,0.1929454474097331
3,4,oracle_centred_residual,0.2177184837861719
3,4,raw_population,0.3599734891634461
