volume,eye,seed_rank,radius_hops,outer_hidden_nodes,target_resolvable_nodes,primary_qc_scored_nodes,visible_qc_training_nodes,unresolvable_nodes,resolvable_qc_fail_nodes,target_reason_counts
20231107,0,0,1,7,7,7,750,0,0,"{""valid"": 7}"
20231107,0,0,2,19,19,19,738,0,0,"{""valid"": 19}"
20231107,0,0,3,37,37,37,720,0,0,"{""valid"": 37}"
20231107,0,1,1,7,7,7,750,0,0,"{""valid"": 7}"
20231107,0,1,2,19,19,19,738,0,0,"{""valid"": 19}"
20231107,0,1,3,37,37,37,720,0,0,"{""valid"": 37}"
20231107,0,2,1,7,7,7,750,0,0,"{""valid"": 7}"
20231107,0,2,2,19,19,19,738,0,0,"{""valid"": 19}"
20231107,0,2,3,37,37,37,720,0,0,"{""valid"": 37}"
20231107,0,3,1,7,7,7,750,0,0,"{""valid"": 7}"
20231107,0,3,2,19,19,19,738,0,0,"{""valid"": 19}"
20231107,0,3,3,37,37,37,720,0,0,"{""valid"": 37}"
20231107,0,4,1,7,7,7,750,0,0,"{""valid"": 7}"
20231107,0,4,2,19,19,19,738,0,0,"{""valid"": 19}"
20231107,0,4,3,37,37,37,720,0,0,"{""valid"": 37}"
20231107,0,5,1,7,7,7,750,0,0,"{""valid"": 7}"
20231107,0,5,2,19,19,19,738,0,0,"{""valid"": 19}"
20231107,0,5,3,37,37,37,720,0,0,"{""valid"": 37}"
20231107,0,6,1,7,7,7,750,0,0,"{""valid"": 7}"
20231107,0,6,2,19,19,19,738,0,0,"{""valid"": 19}"
20231107,0,6,3,37,37,37,720,0,0,"{""valid"": 37}"
20231107,0,7,1,7,7,7,750,0,0,"{""valid"": 7}"
20231107,0,7,2,19,19,19,738,0,0,"{""valid"": 19}"
20231107,0,7,3,37,37,37,720,0,0,"{""valid"": 37}"
20231107,1,0,1,7,7,7,764,0,0,"{""valid"": 7}"
20231107,1,0,2,19,19,19,752,0,0,"{""valid"": 19}"
20231107,1,0,3,37,37,37,734,0,0,"{""valid"": 37}"
20231107,1,1,1,7,7,7,764,0,0,"{""valid"": 7}"
20231107,1,1,2,19,19,19,752,0,0,"{""valid"": 19}"
20231107,1,1,3,37,37,37,734,0,0,"{""valid"": 37}"
20231107,1,2,1,7,7,7,764,0,0,"{""valid"": 7}"
20231107,1,2,2,19,19,19,752,0,0,"{""valid"": 19}"
20231107,1,2,3,37,37,37,734,0,0,"{""valid"": 37}"
20231107,1,3,1,7,7,7,764,0,0,"{""valid"": 7}"
20231107,1,3,2,19,19,19,752,0,0,"{""valid"": 19}"
20231107,1,3,3,37,37,37,734,0,0,"{""valid"": 37}"
20231107,1,4,1,7,7,7,764,0,0,"{""valid"": 7}"
20231107,1,4,2,19,19,19,752,0,0,"{""valid"": 19}"
20231107,1,4,3,37,37,37,734,0,0,"{""valid"": 37}"
20231107,1,5,1,7,7,7,764,0,0,"{""valid"": 7}"
20231107,1,5,2,19,19,19,752,0,0,"{""valid"": 19}"
20231107,1,5,3,37,37,37,734,0,0,"{""valid"": 37}"
20231107,1,6,1,7,7,7,764,0,0,"{""valid"": 7}"
20231107,1,6,2,19,19,19,752,0,0,"{""valid"": 19}"
20231107,1,6,3,37,37,37,734,0,0,"{""valid"": 37}"
20231107,1,7,1,7,7,7,764,0,0,"{""valid"": 7}"
20231107,1,7,2,19,19,19,752,0,0,"{""valid"": 19}"
20231107,1,7,3,37,37,37,734,0,0,"{""valid"": 37}"
20240530,0,0,1,7,7,7,776,0,0,"{""valid"": 7}"
20240530,0,0,2,19,19,19,764,0,0,"{""valid"": 19}"
20240530,0,0,3,37,37,37,746,0,0,"{""valid"": 37}"
20240530,0,1,1,7,7,7,776,0,0,"{""valid"": 7}"
20240530,0,1,2,19,19,19,764,0,0,"{""valid"": 19}"
20240530,0,1,3,37,37,37,746,0,0,"{""valid"": 37}"
20240530,0,2,1,7,7,7,776,0,0,"{""valid"": 7}"
20240530,0,2,2,19,19,19,764,0,0,"{""valid"": 19}"
20240530,0,2,3,37,37,37,746,0,0,"{""valid"": 37}"
20240530,0,3,1,7,7,7,776,0,0,"{""valid"": 7}"
20240530,0,3,2,19,19,19,764,0,0,"{""valid"": 19}"
20240530,0,3,3,37,37,37,746,0,0,"{""valid"": 37}"
20240530,0,4,1,7,7,7,776,0,0,"{""valid"": 7}"
20240530,0,4,2,19,19,19,764,0,0,"{""valid"": 19}"
20240530,0,4,3,37,37,37,746,0,0,"{""valid"": 37}"
20240530,0,5,1,7,7,7,776,0,0,"{""valid"": 7}"
20240530,0,5,2,19,19,19,764,0,0,"{""valid"": 19}"
20240530,0,5,3,37,37,37,746,0,0,"{""valid"": 37}"
20240530,0,6,1,7,7,7,776,0,0,"{""valid"": 7}"
20240530,0,6,2,19,19,19,764,0,0,"{""valid"": 19}"
20240530,0,6,3,37,37,37,746,0,0,"{""valid"": 37}"
20240530,0,7,1,7,7,7,776,0,0,"{""valid"": 7}"
20240530,0,7,2,19,19,19,764,0,0,"{""valid"": 19}"
20240530,0,7,3,37,37,37,746,0,0,"{""valid"": 37}"
20240530,1,0,1,7,7,7,785,0,0,"{""valid"": 7}"
20240530,1,0,2,19,19,19,773,0,0,"{""valid"": 19}"
20240530,1,0,3,37,37,37,755,0,0,"{""valid"": 37}"
20240530,1,1,1,7,7,7,785,0,0,"{""valid"": 7}"
20240530,1,1,2,19,19,19,773,0,0,"{""valid"": 19}"
20240530,1,1,3,37,37,37,755,0,0,"{""valid"": 37}"
20240530,1,2,1,7,7,7,785,0,0,"{""valid"": 7}"
