volume,method,hops_to_nearest_visible_target,n_lenses,median_lens_mae_um,p90_lens_mae_um
20231107,axisymmetric_ellipsoid,1,192,27.60574463471289,32.84021461026638
20231107,axisymmetric_ellipsoid,2,96,28.730459512092846,31.96428815317601
20231107,axisymmetric_ellipsoid,3,16,29.220195042584617,31.490272532695467
20231107,graph_harmonic_depth_shared_shape,1,192,1.1080615367477102,2.6017764582771346
20231107,graph_harmonic_depth_shared_shape,2,96,1.3489900583547754,3.0439577466484877
20231107,graph_harmonic_depth_shared_shape,3,16,1.407476901455165,2.8518991665533884
20231107,nearest_visible_surface,1,192,1.441996355956534,3.787105630853481
20231107,nearest_visible_surface,2,96,2.02400398585692,4.5249281832564066
20231107,nearest_visible_surface,3,16,2.29023083240149,5.5206570482151855
20231107,same_eye_outer_ridge,1,192,2.9107892947469414,6.480405982782473
20231107,same_eye_outer_ridge,2,96,2.3254058843674565,5.597460693510538
20231107,same_eye_outer_ridge,3,16,2.170425174480061,4.627940579293699
20231107,same_eye_template,1,192,2.6605093087635128,6.853910776493022
20231107,same_eye_template,2,96,2.206454770304176,5.9636779068557
20231107,same_eye_template,3,16,2.0292375840168533,4.977329031156987
20231107,six_neighbor_depth_shared_shape,1,192,1.2049911670685394,3.081946821949853
20231107,six_neighbor_depth_shared_shape,2,96,1.5565698241716581,3.272164531936991
20231107,six_neighbor_depth_shared_shape,3,16,1.5155739650624764,3.110508805185524
20231107,six_neighbor_surface,1,192,1.1961490695737815,3.066237334789762
20231107,six_neighbor_surface,2,96,1.5792959206091788,3.280537814304836
20231107,six_neighbor_surface,3,16,1.4914459834482177,3.1115013711615394
20240530,axisymmetric_ellipsoid,1,192,11.830814073827074,15.840154641264993
20240530,axisymmetric_ellipsoid,2,96,11.927855367372018,15.62648965165112
20240530,axisymmetric_ellipsoid,3,16,9.402847061022012,15.170818442711983
20240530,graph_harmonic_depth_shared_shape,1,192,0.32009203424667787,0.8809712722989348
20240530,graph_harmonic_depth_shared_shape,2,96,0.3147269291505257,1.033265910848926
20240530,graph_harmonic_depth_shared_shape,3,16,0.32235882367547675,0.99637565455434
20240530,nearest_visible_surface,1,192,0.3831064893031037,1.0605658351177008
20240530,nearest_visible_surface,2,96,0.4693638977792728,1.686937114986513
20240530,nearest_visible_surface,3,16,0.44291775742549927,2.2816932803118766
20240530,same_eye_outer_ridge,1,192,0.6775386940000113,1.7259712605198234
20240530,same_eye_outer_ridge,2,96,0.690663520484047,1.4867106267927923
20240530,same_eye_outer_ridge,3,16,0.7564502525678303,1.2564744505530379
20240530,same_eye_template,1,192,0.5050719638810233,1.4698502587645146
20240530,same_eye_template,2,96,0.48774642923617484,1.2852310950120232
20240530,same_eye_template,3,16,0.42984009621926883,0.9900376587462769
20240530,six_neighbor_depth_shared_shape,1,192,0.3214555117101706,0.8835366811656914
20240530,six_neighbor_depth_shared_shape,2,96,0.39531978510916677,1.1168787284732087
20240530,six_neighbor_depth_shared_shape,3,16,0.34553302272317055,1.384443411389229
20240530,six_neighbor_surface,1,192,0.295278793456469,0.8227286507351054
20240530,six_neighbor_surface,2,96,0.3886490414986451,1.115658182742808
20240530,six_neighbor_surface,3,16,0.3106035324220751,1.3712048890930117
20240701,axisymmetric_ellipsoid,1,192,9.734169141347497,13.68618194286415
20240701,axisymmetric_ellipsoid,2,96,10.200721227028268,13.592621780173566
20240701,axisymmetric_ellipsoid,3,16,10.564375574263321,13.399024716663885
20240701,graph_harmonic_depth_shared_shape,1,192,0.4963147351205649,1.3510635034981289
20240701,graph_harmonic_depth_shared_shape,2,96,0.4897980997489146,1.3117930867606904
20240701,graph_harmonic_depth_shared_shape,3,16,0.6900886427538211,1.2077636913293406
20240701,nearest_visible_surface,1,192,0.5678787773442828,1.6236954556098608
20240701,nearest_visible_surface,2,96,0.7142600498946281,1.6034275812578664
20240701,nearest_visible_surface,3,16,1.017064745737126,1.3820913307732887
20240701,same_eye_outer_ridge,1,192,0.6590796033051649,2.0244334403069346
20240701,same_eye_outer_ridge,2,96,0.7094237829532,1.6572858959993053
20240701,same_eye_outer_ridge,3,16,0.707234064104413,1.4240821344752108
20240701,same_eye_template,1,192,0.6786325405200522,2.1048474984653844
20240701,same_eye_template,2,96,0.6453808831657681,1.4629503225356617
20240701,same_eye_template,3,16,0.6563807953233425,1.7053716391806133
20240701,six_neighbor_depth_shared_shape,1,192,0.48226156703591605,1.3072232221828464
20240701,six_neighbor_depth_shared_shape,2,96,0.5775668419230944,1.4349242274415563
20240701,six_neighbor_depth_shared_shape,3,16,0.6471330818709783,1.4653959057050976
20240701,six_neighbor_surface,1,192,0.46458967659789313,1.2826301500422295
20240701,six_neighbor_surface,2,96,0.5827215627736062,1.4088690770819305
20240701,six_neighbor_surface,3,16,0.6692027194864448,1.5004705472324944
