volume,eye,seed_rank,seed_landmark_id,radius_hops,hidden_distal_defined_nodes,target_resolvable_nodes,target_qc_nodes,visible_target_qc_donors
20231107,0,0,0,1,7,7,5,752
20231107,0,0,0,2,19,19,16,741
20231107,0,0,0,3,33,33,29,728
20231107,0,1,907,1,7,7,6,751
20231107,0,1,907,2,17,17,16,741
20231107,0,1,907,3,32,31,27,730
20231107,0,2,264,1,6,6,4,753
20231107,0,2,264,2,15,15,12,745
20231107,0,2,264,3,27,26,22,735
20231107,0,3,392,1,8,8,8,749
20231107,0,3,392,2,20,20,20,737
20231107,0,3,392,3,36,36,36,721
20231107,0,4,783,1,7,7,6,751
20231107,0,4,783,2,16,16,14,743
20231107,0,4,783,3,30,30,26,731
20231107,0,5,148,1,5,5,5,752
20231107,0,5,148,2,14,14,14,743
20231107,0,5,148,3,27,27,25,732
20231107,0,6,81,1,5,4,2,755
20231107,0,6,81,2,12,10,7,750
20231107,0,6,81,3,22,19,15,742
20231107,0,7,574,1,7,7,7,750
20231107,0,7,574,2,18,17,16,741
20231107,0,7,574,3,32,29,28,729
20231107,1,0,616,1,6,6,5,766
20231107,1,0,616,2,15,15,13,758
20231107,1,0,616,3,26,26,24,747
20231107,1,1,1405,1,6,6,5,766
20231107,1,1,1405,2,15,15,13,758
20231107,1,1,1405,3,27,27,25,746
20231107,1,2,980,1,7,5,5,766
20231107,1,2,980,2,16,12,10,761
20231107,1,2,980,3,28,22,18,753
20231107,1,3,1280,1,7,7,5,766
20231107,1,3,1280,2,17,17,15,756
20231107,1,3,1280,3,30,30,26,745
20231107,1,4,737,1,7,6,5,766
20231107,1,4,737,2,17,16,15,756
20231107,1,4,737,3,31,30,28,743
20231107,1,5,912,1,8,8,6,765
20231107,1,5,912,2,18,18,14,757
20231107,1,5,912,3,31,31,25,746
20231107,1,6,1204,1,7,7,4,767
20231107,1,6,1204,2,17,17,12,759
20231107,1,6,1204,3,32,31,25,746
20231107,1,7,1551,1,7,7,7,764
20231107,1,7,1551,2,18,18,17,754
20231107,1,7,1551,3,32,32,30,741
20240530,0,0,30,1,6,6,6,777
20240530,0,0,30,2,16,16,16,767
20240530,0,0,30,3,30,30,30,753
20240530,0,1,1577,1,7,7,6,777
20240530,0,1,1577,2,18,18,17,766
