cohort,volume,radius_hops,method,n_lens_predictions,median_lens_mae_um,p90_lens_mae_um,median_normalized_mae,median_target_depth_um
primary_target_qc,20231107,1,axisymmetric_ellipsoid,85,20.627203098278112,27.240905551095285,0.9167115353006704,21.68346979164903
primary_target_qc,20231107,1,graph_harmonic_depth_shared_shape,85,2.660753224303526,10.607906005497746,0.10440664986555213,21.68346979164903
primary_target_qc,20231107,1,nearest_visible_surface,85,2.3994074024025482,9.638287030806287,0.09994976523543503,21.68346979164903
primary_target_qc,20231107,1,same_eye_outer_ridge,85,5.064038502565538,13.0558638717568,0.19619535947718875,21.68346979164903
primary_target_qc,20231107,1,same_eye_template,85,8.004415852946432,15.81400167354633,0.37379844051009314,21.68346979164903
primary_target_qc,20231107,1,six_neighbor_depth_shared_shape,85,3.0256112516335634,10.815071323937651,0.1253507377402581,21.68346979164903
primary_target_qc,20231107,1,six_neighbor_surface,85,2.39375029718083,10.594787028824461,0.11648728125936209,21.68346979164903
primary_target_qc,20231107,2,axisymmetric_ellipsoid,224,22.759093619063563,30.08715218796434,0.9551824863719125,24.094412809787933
primary_target_qc,20231107,2,graph_harmonic_depth_shared_shape,224,2.505451199313635,10.757346077989725,0.0954067989673098,24.094412809787933
primary_target_qc,20231107,2,nearest_visible_surface,224,2.6040988383197874,11.15735693974811,0.11289659135314437,24.094412809787933
primary_target_qc,20231107,2,same_eye_outer_ridge,224,4.464432169385528,13.263265258169627,0.17055168430774054,24.094412809787933
primary_target_qc,20231107,2,same_eye_template,224,5.420815665699276,15.224108210145324,0.22057251191201793,24.094412809787933
primary_target_qc,20231107,2,six_neighbor_depth_shared_shape,224,2.638865209178297,11.706192174026755,0.10819149823551914,24.094412809787933
primary_target_qc,20231107,2,six_neighbor_surface,224,2.5686444541977185,11.577965514436647,0.10428007979761589,24.094412809787933
primary_target_qc,20231107,3,axisymmetric_ellipsoid,409,23.543967143127617,30.592773245302126,0.9581213021823806,25.365192132863104
primary_target_qc,20231107,3,graph_harmonic_depth_shared_shape,409,2.1516307073363286,9.421225788086165,0.07932005162016152,25.365192132863104
primary_target_qc,20231107,3,nearest_visible_surface,409,2.547889938406499,10.520136201329766,0.10004720391763965,25.365192132863104
primary_target_qc,20231107,3,same_eye_outer_ridge,409,3.9997633141896904,12.31244443598814,0.15018245432702654,25.365192132863104
primary_target_qc,20231107,3,same_eye_template,409,4.883575299204556,14.234313022762993,0.17374966010536666,25.365192132863104
