volume,eye,repeat,survival_fraction,n_distal_graph_nodes,n_potential_donors,n_usable_target_qc_donors,n_resolvable_test_lenses,n_target_qc_test_lenses,prediction_available
20231107,0,0,0.01,797,8,8,779,749,True
20231107,0,0,0.02,797,16,16,771,741,True
20231107,0,0,0.05,797,40,39,748,718,True
20231107,0,0,0.1,797,80,75,709,682,True
20231107,0,0,0.2,797,160,150,631,607,True
20231107,0,0,0.4,797,319,298,474,459,True
20231107,0,1,0.01,797,8,8,779,749,True
20231107,0,1,0.02,797,16,15,771,742,True
20231107,0,1,0.05,797,40,37,747,720,True
20231107,0,1,0.1,797,80,74,707,683,True
20231107,0,1,0.2,797,160,148,630,609,True
20231107,0,1,0.4,797,319,300,472,457,True
20231107,0,2,0.01,797,8,5,779,752,False
20231107,0,2,0.02,797,16,13,771,744,True
20231107,0,2,0.05,797,40,35,747,722,True
20231107,0,2,0.1,797,80,72,708,685,True
20231107,0,2,0.2,797,160,150,628,607,True
20231107,0,2,0.4,797,319,297,473,460,True
20231107,0,3,0.01,797,8,8,779,749,True
20231107,0,3,0.02,797,16,16,771,741,True
20231107,0,3,0.05,797,40,40,747,717,True
20231107,0,3,0.1,797,80,78,708,679,True
20231107,0,3,0.2,797,160,155,629,602,True
20231107,0,3,0.4,797,319,310,470,447,True
20231107,0,4,0.01,797,8,8,779,749,True
20231107,0,4,0.02,797,16,16,771,741,True
20231107,0,4,0.05,797,40,39,747,718,True
20231107,0,4,0.1,797,80,78,707,679,True
20231107,0,4,0.2,797,160,152,628,605,True
20231107,0,4,0.4,797,319,301,472,456,True
20231107,0,5,0.01,797,8,8,779,749,True
20231107,0,5,0.02,797,16,16,771,741,True
20231107,0,5,0.05,797,40,40,747,717,True
20231107,0,5,0.1,797,80,80,707,677,True
20231107,0,5,0.2,797,160,154,628,603,True
20231107,0,5,0.4,797,319,306,470,451,True
20231107,0,6,0.01,797,8,7,779,750,True
20231107,0,6,0.02,797,16,15,771,742,True
20231107,0,6,0.05,797,40,38,748,719,True
20231107,0,6,0.1,797,80,78,708,679,True
20231107,0,6,0.2,797,160,153,631,604,True
20231107,0,6,0.4,797,319,309,472,448,True
20231107,0,7,0.01,797,8,7,779,750,True
20231107,0,7,0.02,797,16,14,771,743,True
20231107,0,7,0.05,797,40,36,748,721,True
20231107,0,7,0.1,797,80,74,709,683,True
20231107,0,7,0.2,797,160,151,629,606,True
20231107,0,7,0.4,797,319,305,471,452,True
20231107,0,8,0.01,797,8,8,779,749,True
20231107,0,8,0.02,797,16,16,771,741,True
20231107,0,8,0.05,797,40,40,747,717,True
20231107,0,8,0.1,797,80,80,707,677,True
20231107,0,8,0.2,797,160,155,629,602,True
20231107,0,8,0.4,797,319,303,472,454,True
20231107,0,9,0.01,797,8,7,780,750,True
20231107,0,9,0.02,797,16,14,772,743,True
20231107,0,9,0.05,797,40,37,748,720,True
20231107,0,9,0.1,797,80,74,708,683,True
20231107,0,9,0.2,797,160,149,630,608,True
20231107,0,9,0.4,797,319,304,472,453,True
20231107,0,10,0.01,797,8,7,779,750,True
20231107,0,10,0.02,797,16,14,771,743,True
20231107,0,10,0.05,797,40,36,747,721,True
20231107,0,10,0.1,797,80,74,708,683,True
20231107,0,10,0.2,797,160,151,628,606,True
20231107,0,10,0.4,797,319,303,470,454,True
20231107,0,11,0.01,797,8,7,779,750,True
20231107,0,11,0.02,797,16,15,771,742,True
20231107,0,11,0.05,797,40,38,747,719,True
20231107,0,11,0.1,797,80,78,707,679,True
20231107,0,11,0.2,797,160,153,629,604,True
20231107,0,11,0.4,797,319,299,473,458,True
20231107,0,12,0.01,797,8,8,779,749,True
20231107,0,12,0.02,797,16,16,771,741,True
20231107,0,12,0.05,797,40,40,747,717,True
20231107,0,12,0.1,797,80,78,707,679,True
20231107,0,12,0.2,797,160,154,628,603,True
20231107,0,12,0.4,797,319,308,470,449,True
20231107,0,13,0.01,797,8,8,779,749,True
20231107,0,13,0.02,797,16,15,771,742,True
20231107,0,13,0.05,797,40,39,747,718,True
20231107,0,13,0.1,797,80,76,707,681,True
20231107,0,13,0.2,797,160,149,631,608,True
20231107,0,13,0.4,797,319,299,475,458,True
20231107,0,14,0.01,797,8,8,779,749,True
20231107,0,14,0.02,797,16,16,771,741,True
20231107,0,14,0.05,797,40,40,747,717,True
20231107,0,14,0.1,797,80,78,708,679,True
20231107,0,14,0.2,797,160,153,628,604,True
20231107,0,14,0.4,797,319,304,470,453,True
20231107,0,15,0.01,797,8,8,779,749,True
20231107,0,15,0.02,797,16,16,771,741,True
20231107,0,15,0.05,797,40,40,747,717,True
20231107,0,15,0.1,797,80,80,707,677,True
20231107,0,15,0.2,797,160,153,629,604,True
20231107,0,15,0.4,797,319,303,472,454,True
20231107,0,16,0.01,797,8,7,779,750,True
20231107,0,16,0.02,797,16,14,772,743,True
20231107,0,16,0.05,797,40,37,748,720,True
20231107,0,16,0.1,797,80,75,708,682,True
20231107,0,16,0.2,797,160,150,629,607,True
20231107,0,16,0.4,797,319,300,472,457,True
20231107,0,17,0.01,797,8,7,779,750,True
20231107,0,17,0.02,797,16,12,772,745,True
20231107,0,17,0.05,797,40,36,748,721,True
20231107,0,17,0.1,797,80,72,709,685,True
20231107,0,17,0.2,797,160,150,630,607,True
20231107,0,17,0.4,797,319,302,473,455,True
20231107,0,18,0.01,797,8,8,779,749,True
20231107,0,18,0.02,797,16,16,771,741,True
20231107,0,18,0.05,797,40,39,748,718,True
20231107,0,18,0.1,797,80,77,708,680,True
20231107,0,18,0.2,797,160,155,629,602,True
20231107,0,18,0.4,797,319,303,472,454,True
20231107,0,19,0.01,797,8,7,779,750,True
20231107,0,19,0.02,797,16,15,771,742,True
20231107,0,19,0.05,797,40,39,747,718,True
20231107,0,19,0.1,797,80,77,707,680,True
20231107,0,19,0.2,797,160,155,627,602,True
20231107,0,19,0.4,797,319,306,468,451,True
20231107,0,20,0.01,797,8,8,779,749,True
20231107,0,20,0.02,797,16,16,771,741,True
20231107,0,20,0.05,797,40,40,747,717,True
20231107,0,20,0.1,797,80,75,708,682,True
20231107,0,20,0.2,797,160,152,629,605,True
20231107,0,20,0.4,797,319,299,475,458,True
20231107,0,21,0.01,797,8,8,779,749,True
20231107,0,21,0.02,797,16,16,771,741,True
20231107,0,21,0.05,797,40,40,747,717,True
20231107,0,21,0.1,797,80,78,708,679,True
20231107,0,21,0.2,797,160,154,630,603,True
