volume,eye,survival_fraction,method,n_repeats,median_repeat_mae_um,p90_repeat_mae_um,median_repeat_normalized_mae
20231107,0,0.01,donor_template,24,3.2688482280380864,4.500055955074472,0.11499463507706913
20231107,0,0.01,nearest_visible_surface,24,2.915984799150886,3.8732255589006117,0.10178859976743927
20231107,0,0.01,six_neighbor_depth_shared_shape,24,2.7724432335164217,3.3793344430432244,0.09587625098808564
20231107,0,0.01,six_neighbor_surface,24,2.772370296317967,3.366388971827302,0.09575697528728533
20231107,0,0.02,donor_template,25,3.0251406650215764,3.580863776619951,0.10258024812883199
20231107,0,0.02,nearest_visible_surface,25,2.6267592056246105,3.0096116811184452,0.09109046245892972
20231107,0,0.02,six_neighbor_depth_shared_shape,25,2.224237199566377,2.5853960941603455,0.07605701045590471
20231107,0,0.02,six_neighbor_surface,25,2.232585747615453,2.5931504786326482,0.07782700511805979
20231107,0,0.05,donor_template,25,3.0391168928967045,3.2486119613028834,0.10239540130583498
20231107,0,0.05,nearest_visible_surface,25,2.05668495962103,2.2691600304971185,0.07425537507802321
20231107,0,0.05,six_neighbor_depth_shared_shape,25,1.7346812682237716,2.0654108853756967,0.06301164785794826
20231107,0,0.05,six_neighbor_surface,25,1.7618134383988424,2.0627004994762546,0.0637166911811291
20231107,0,0.1,donor_template,25,3.0115945359452794,3.2346943751503243,0.10215268451667346
20231107,0,0.1,nearest_visible_surface,25,1.7706981825911854,1.9016982870659072,0.06350988692934956
20231107,0,0.1,six_neighbor_depth_shared_shape,25,1.5187670298009543,1.6056958816077749,0.054337037439911036
20231107,0,0.1,six_neighbor_surface,25,1.5356968074845114,1.610214356137618,0.054447806829172746
20231107,0,0.2,donor_template,25,3.0055930444023256,3.092965634336041,0.1020110052014711
20231107,0,0.2,nearest_visible_surface,25,1.486908750981522,1.5678741383586439,0.05317480940297996
20231107,0,0.2,six_neighbor_depth_shared_shape,25,1.2603756186641424,1.3363770068848533,0.04558203263498239
20231107,0,0.2,six_neighbor_surface,25,1.2641412677228179,1.348698881507561,0.04567256735022719
20231107,0,0.4,donor_template,25,3.021448208773533,3.22270467179711,0.1027695560237013
20231107,0,0.4,nearest_visible_surface,25,1.3251711096725405,1.3794260220398096,0.04723472914214884
20231107,0,0.4,six_neighbor_depth_shared_shape,25,1.0642634302883256,1.115504648527727,0.03803833873944456
