target_heldout_volume,scenario,n_lenses,median_81pt_mae_um,median_81pt_normalized_mae
20231107,unshifted_point_model,1584,13.788165369097241,0.4808349684036124
20231107,heldout_residual_20231107,1584,3.1887074292241344,0.10887160725307744
20231107,heldout_residual_20240530,1584,17.343424540045987,0.6037134409608086
20231107,heldout_residual_20240701,1584,19.68218539781735,0.6854002088332537
20240530,unshifted_point_model,1592,3.639081172908514,0.22766106068705477
20240530,heldout_residual_20231107,1592,17.38833033948685,1.074304457285213
20240530,heldout_residual_20240530,1592,1.2381748304699578,0.07589584534032101
20240530,heldout_residual_20240701,1592,2.4470115933058274,0.15368112802599748
20240701,unshifted_point_model,1699,6.361272025882381,0.47509541506422426
20240701,heldout_residual_20231107,1699,19.773199713490488,1.4664689527151213
20240701,heldout_residual_20240530,1699,3.194647330370985,0.24261496486726672
20240701,heldout_residual_20240701,1699,1.9262448357445976,0.14218292740723948
