region,percentile,maximum_step_voxels,reference_depth,eligible_tracks,median_quadratic_minus_line_voxels,fraction_quadratic_wins
1,65.0,2.5,20,61,-0.035135292132205564,0.5409836065573771
2,65.0,2.5,19,54,-0.06077174861194201,0.5740740740740741
3,65.0,2.5,13,15,0.059243113338671494,0.3333333333333333
1,65.0,3.2,20,84,-0.11984715660855594,0.5833333333333334
2,65.0,3.2,19,65,-0.14050570376526716,0.6153846153846154
3,65.0,3.2,13,22,-0.019069467424302378,0.5
1,65.0,4.0,20,91,-0.14508827238865007,0.5934065934065934
2,65.0,4.0,19,75,-0.14050570376526716,0.6
3,65.0,4.0,13,29,-0.052254702099596706,0.5517241379310345
1,70.0,2.5,20,59,-0.035135292132205564,0.5423728813559322
2,70.0,2.5,19,48,-0.06077174861194201,0.5833333333333334
3,70.0,2.5,13,10,0.04488365862689547,0.4
1,70.0,3.2,20,81,-0.1322871885469492,0.5802469135802469
2,70.0,3.2,19,53,-0.05696630100962641,0.5849056603773585
3,70.0,3.2,13,15,-0.052254702099596706,0.5333333333333333
1,70.0,4.0,20,92,-0.14215832192575178,0.5869565217391305
2,70.0,4.0,19,62,-0.0652748792824962,0.5967741935483871
3,70.0,4.0,13,19,-0.052254702099596706,0.5789473684210527
1,75.0,2.5,20,58,-0.06881858508771516,0.603448275862069
2,75.0,2.5,19,51,-0.09878339860838725,0.6078431372549019
3,75.0,2.5,13,8,0.04488365862689547,0.375
1,75.0,3.2,20,80,-0.0985108092379604,0.6
2,75.0,3.2,19,56,-0.06968431899268535,0.5892857142857143
3,75.0,3.2,13,14,0.017891074779775362,0.42857142857142855
1,75.0,4.0,20,87,-0.1250975618598429,0.6206896551724138
2,75.0,4.0,19,61,-0.073583457555366,0.5737704918032787
3,75.0,4.0,13,16,0.017891074779775362,0.4375
1,80.0,2.5,20,49,-0.09101951510359907,0.6122448979591837
2,80.0,2.5,19,42,-0.08892001246065906,0.6190476190476191
3,80.0,2.5,13,3,0.0970404712613624,0.3333333333333333
1,80.0,3.2,20,60,-0.019718090840389113,0.5333333333333333
2,80.0,3.2,19,52,-0.1727359647143925,0.6730769230769231
3,80.0,3.2,13,6,-0.45966441636475086,0.6666666666666666
1,80.0,4.0,20,72,-0.04062643159407209,0.5416666666666666
2,80.0,4.0,19,66,-0.13435544839351826,0.6060606060606061
3,80.0,4.0,13,9,-0.39951178304763024,0.5555555555555556
