specimen,lens_id,z,x,radius_voxels,method,target_valid,mae_voxels,mae_um,nonpositive_thickness_fraction
M3_F_35_03,0,867,71,31.352183604184223,outer_ellipsoid,True,29.88840876696443,9.71373284926344,0.0
M3_F_35_03,0,867,71,31.352183604184223,frozen_training_template,True,7.966032600645424,2.588960595209763,0.0
M3_F_35_03,0,867,71,31.352183604184223,frozen_outer_geometry,True,4.668086754093406,1.517128195080357,0.0
M3_F_35_03,1,870,343,31.61371182174741,outer_ellipsoid,True,38.2959454411703,12.44618226838035,0.0
M3_F_35_03,1,870,343,31.61371182174741,frozen_training_template,True,10.354499866345453,3.365212456562272,0.0
M3_F_35_03,1,870,343,31.61371182174741,frozen_outer_geometry,True,3.113688433882857,1.0119487410119286,0.0
M3_F_35_03,2,880,270,30.982776211068636,outer_ellipsoid,True,29.857777360222364,9.703777642072268,0.0
M3_F_35_03,2,880,270,30.982776211068636,frozen_training_template,True,8.723562965319376,2.8351579637287974,0.0
M3_F_35_03,2,880,270,30.982776211068636,frozen_outer_geometry,True,4.241382319093191,1.378449253705287,0.0
M3_F_35_03,3,882,202,31.785161946123864,outer_ellipsoid,True,31.40659604900202,10.207143715925657,0.0
M3_F_35_03,3,882,202,31.785161946123864,frozen_training_template,True,8.490172006899133,2.759305902242218,0.0
M3_F_35_03,3,882,202,31.785161946123864,frozen_outer_geometry,True,5.280362381133379,1.7161177738683484,0.0
M3_F_35_03,4,883,135,30.24469504194571,outer_ellipsoid,True,30.645594383589614,9.959818174666625,0.0
M3_F_35_03,4,883,135,30.24469504194571,frozen_training_template,True,7.885047282689674,2.562640366874144,0.0
M3_F_35_03,4,883,135,30.24469504194571,frozen_outer_geometry,True,4.570268081665641,1.4853371265413333,0.0
M3_F_35_03,5,884,386,24.812477295995617,outer_ellipsoid,True,17.708842374946588,5.755373771857641,0.0
M3_F_35_03,5,884,386,24.812477295995617,frozen_training_template,True,4.787319860222224,1.555878954572223,0.0
M3_F_35_03,5,884,386,24.812477295995617,frozen_outer_geometry,True,2.254316517109253,0.7326528680605072,0.0
M3_F_35_03,6,906,313,22.698315832104377,outer_ellipsoid,True,28.587485179610916,9.290932683373548,0.0
M3_F_35_03,6,906,313,22.698315832104377,frozen_training_template,True,4.107854527878225,1.3350527215604233,0.0
M3_F_35_03,6,906,313,22.698315832104377,frozen_outer_geometry,True,3.4287270987326295,1.1143363070881047,0.0
M3_F_35_03,7,909,97,23.263523706764495,outer_ellipsoid,False,,,0.0
M3_F_35_03,7,909,97,23.263523706764495,frozen_training_template,False,,,0.0
M3_F_35_03,7,909,97,23.263523706764495,frozen_outer_geometry,False,,,0.0
M3_F_35_03,8,916,169,23.15077679507715,outer_ellipsoid,False,,,0.0
M3_F_35_03,8,916,169,23.15077679507715,frozen_training_template,False,,,0.0
M3_F_35_03,8,916,169,23.15077679507715,frozen_outer_geometry,False,,,0.0
M3_F_35_03,9,916,242,22.50355590657864,outer_ellipsoid,False,,,0.0
M3_F_35_03,9,916,242,22.50355590657864,frozen_training_template,False,,,0.0
M3_F_35_03,9,916,242,22.50355590657864,frozen_outer_geometry,False,,,0.0
M3_F_35_03,10,922,352,21.08909337718359,outer_ellipsoid,False,,,0.0
M3_F_35_03,10,922,352,21.08909337718359,frozen_training_template,False,,,0.0
M3_F_35_03,10,922,352,21.08909337718359,frozen_outer_geometry,False,,,0.0
M3_F_35_03,11,925,58,21.640421109766255,outer_ellipsoid,False,,,0.0
M3_F_35_03,11,925,58,21.640421109766255,frozen_training_template,False,,,0.0
M3_F_35_03,11,925,58,21.640421109766255,frozen_outer_geometry,False,,,0.0
M3_F_35_03,12,932,391,20.143233254971882,outer_ellipsoid,False,,,0.0
M3_F_35_03,12,932,391,20.143233254971882,frozen_training_template,False,,,0.0
M3_F_35_03,12,932,391,20.143233254971882,frozen_outer_geometry,False,,,0.0
M3_F_35_03,13,935,280,21.091518688809963,outer_ellipsoid,False,,,0.0
M3_F_35_03,13,935,280,21.091518688809963,frozen_training_template,False,,,0.0
M3_F_35_03,13,935,280,21.091518688809963,frozen_outer_geometry,False,,,0.0
M3_F_35_03,14,938,134,21.14232160507304,outer_ellipsoid,False,,,0.0
