specimen,lens_id,z,x,radius_voxels,method,target_valid,mae_voxels,mae_um,nonpositive_thickness_fraction
M3_M_36_01,0,28,293,32.14122528281987,outer_ellipsoid,False,,,0.0
M3_M_36_01,0,28,293,32.14122528281987,frozen_training_template,False,,,0.0
M3_M_36_01,0,28,293,32.14122528281987,frozen_outer_geometry,False,,,0.0
M3_M_36_01,1,35,172,34.43165241435657,outer_ellipsoid,False,,,0.0
M3_M_36_01,1,35,172,34.43165241435657,frozen_training_template,False,,,0.0
M3_M_36_01,1,35,172,34.43165241435657,frozen_outer_geometry,False,,,0.0
M3_M_36_01,2,35,339,26.772498055045006,outer_ellipsoid,True,10.198977044091812,3.314667539329839,0.0
M3_M_36_01,2,35,339,26.772498055045006,frozen_training_template,True,3.8186713996409734,1.2410682048833164,0.0
M3_M_36_01,2,35,339,26.772498055045006,frozen_outer_geometry,True,3.670603449831429,1.1929461211952144,0.0
M3_M_36_01,3,38,386,27.800568174084425,outer_ellipsoid,True,19.187144092233083,6.235821829975753,0.0
M3_M_36_01,3,38,386,27.800568174084425,frozen_training_template,True,4.767554853913967,1.5494553275220393,0.0
M3_M_36_01,3,38,386,27.800568174084425,frozen_outer_geometry,True,3.998394800444951,1.299478310144609,0.0
M3_M_36_01,4,45,218,29.823592920721957,outer_ellipsoid,False,,,0.0
M3_M_36_01,4,45,218,29.823592920721957,frozen_training_template,False,,,0.0
M3_M_36_01,4,45,218,29.823592920721957,frozen_outer_geometry,False,,,0.0
M3_M_36_01,5,46,88,34.93838203947501,outer_ellipsoid,False,,,0.0
M3_M_36_01,5,46,88,34.93838203947501,frozen_training_template,False,,,0.0
M3_M_36_01,5,46,88,34.93838203947501,frozen_outer_geometry,False,,,0.0
M3_M_36_01,6,66,129,26.57996121596041,outer_ellipsoid,True,9.021989491132716,2.932146584618133,0.0
M3_M_36_01,6,66,129,26.57996121596041,frozen_training_template,True,4.209295213492701,1.368020944385128,0.0
M3_M_36_01,6,66,129,26.57996121596041,frozen_outer_geometry,True,4.948727287967473,1.6083363685894287,0.0
M3_M_36_01,7,66,260,26.03585357923533,outer_ellipsoid,True,6.117892025762743,1.9883149083728917,0.0
M3_M_36_01,7,66,260,26.03585357923533,frozen_training_template,True,4.3234605085767415,1.405124665287441,0.0
M3_M_36_01,7,66,260,26.03585357923533,frozen_outer_geometry,True,4.385030170088235,1.4251348052786763,0.0
M3_M_36_01,8,76,50,27.105801625587702,outer_ellipsoid,False,,,0.0
M3_M_36_01,8,76,50,27.105801625587702,frozen_training_template,False,,,0.0
M3_M_36_01,8,76,50,27.105801625587702,frozen_outer_geometry,False,,,0.0
M3_M_36_01,9,78,306,26.355271408805102,outer_ellipsoid,True,7.02896325554995,2.284413058053734,0.0
M3_M_36_01,9,78,306,26.355271408805102,frozen_training_template,True,3.686141417516225,1.197995960692773,0.0
M3_M_36_01,9,78,306,26.355271408805102,frozen_outer_geometry,True,3.7786032689481646,1.2280460624081535,0.0
M3_M_36_01,10,86,353,26.168675198401402,outer_ellipsoid,True,11.075765251342242,3.599623706686229,0.0
M3_M_36_01,10,86,353,26.168675198401402,frozen_training_template,True,4.209012698472806,1.367929127003662,0.0
M3_M_36_01,10,86,353,26.168675198401402,frozen_outer_geometry,True,4.222687114423053,1.3723733121874921,0.0
M3_M_36_01,11,87,178,27.32090490441837,outer_ellipsoid,True,9.623788719464683,3.127731333826022,0.0
M3_M_36_01,11,87,178,27.32090490441837,frozen_training_template,True,3.708414896224285,1.2052348412728926,0.0
M3_M_36_01,11,87,178,27.32090490441837,frozen_outer_geometry,True,4.489319380689782,1.4590287987241792,0.0
M3_M_36_01,12,90,396,25.49585296700499,outer_ellipsoid,True,10.993469916876215,3.57287772298477,0.0
M3_M_36_01,12,90,396,25.49585296700499,frozen_training_template,True,4.724563922376544,1.5354832747723768,0.0
M3_M_36_01,12,90,396,25.49585296700499,frozen_outer_geometry,True,3.927374597670657,1.2763967442429636,0.0
M3_M_36_01,13,101,90,26.201145013147805,outer_ellipsoid,True,9.115981275411752,2.9626939145088196,0.0
M3_M_36_01,13,101,90,26.201145013147805,frozen_training_template,True,3.6898100067499793,1.1991882521937434,0.0
M3_M_36_01,13,101,90,26.201145013147805,frozen_outer_geometry,True,4.141814283589622,1.3460896421666273,0.0
M3_M_36_01,14,106,224,27.242206280211384,outer_ellipsoid,True,11.018248398533112,3.5809307295232617,0.0
M3_M_36_01,14,106,224,27.242206280211384,frozen_training_template,True,4.737741182531584,1.5397658843227648,0.0
M3_M_36_01,14,106,224,27.242206280211384,frozen_outer_geometry,True,4.000123857247336,1.300040253605384,0.0
M3_M_36_01,15,121,270,27.168699661332447,outer_ellipsoid,True,11.646293501931833,3.7850453881278456,0.0
M3_M_36_01,15,121,270,27.168699661332447,frozen_training_template,True,4.893332938244268,1.5903332049293872,0.0
M3_M_36_01,15,121,270,27.168699661332447,frozen_outer_geometry,True,4.025158325556132,1.308176455805743,0.0
M3_M_36_01,16,124,136,27.800003240640606,outer_ellipsoid,True,13.654189460558705,4.437611574681579,0.0
M3_M_36_01,16,124,136,27.800003240640606,frozen_training_template,True,4.59032100253855,1.4918543258250287,0.0
M3_M_36_01,16,124,136,27.800003240640606,frozen_outer_geometry,True,4.440268505860996,1.4430872644048238,0.0
M3_M_36_01,17,131,315,26.187228839697575,outer_ellipsoid,True,9.696475381390801,3.1513544989520104,0.0
M3_M_36_01,17,131,315,26.187228839697575,frozen_training_template,True,5.095650203705861,1.6560863162044048,0.0
M3_M_36_01,17,131,315,26.187228839697575,frozen_outer_geometry,True,4.368894945907953,1.4198908574200848,0.0
M3_M_36_01,18,136,51,25.7521534354539,outer_ellipsoid,False,,,0.0
M3_M_36_01,18,136,51,25.7521534354539,frozen_training_template,False,,,0.0
M3_M_36_01,18,136,51,25.7521534354539,frozen_outer_geometry,False,,,0.0
M3_M_36_01,19,137,362,25.536685688238222,outer_ellipsoid,True,15.201242624568547,4.940403852984778,0.0
M3_M_36_01,19,137,362,25.536685688238222,frozen_training_template,True,4.891389027385028,1.589701433900134,0.0
M3_M_36_01,19,137,362,25.536685688238222,frozen_outer_geometry,True,4.218570967573567,1.3710355644614092,0.0
M3_M_36_01,20,138,406,26.568922453492974,outer_ellipsoid,True,21.38755294353801,6.950954706649854,0.0
M3_M_36_01,20,138,406,26.568922453492974,frozen_training_template,True,5.3094581416374265,1.7255738960321636,0.0
M3_M_36_01,20,138,406,26.568922453492974,frozen_outer_geometry,True,3.885144923549121,1.2626721001534644,0.0
M3_M_36_01,21,145,185,26.853717330331108,outer_ellipsoid,True,12.290435597582748,3.994391569214393,0.0
M3_M_36_01,21,145,185,26.853717330331108,frozen_training_template,True,4.728121631232991,1.536639530150722,0.0
M3_M_36_01,21,145,185,26.853717330331108,frozen_outer_geometry,True,4.436102658409556,1.4417333639831058,0.0
M3_M_36_01,22,161,95,27.269613289320336,outer_ellipsoid,True,16.517024456736458,5.368032948439349,0.0
M3_M_36_01,22,161,95,27.269613289320336,frozen_training_template,True,5.57593262090434,1.8121781017939107,0.0
M3_M_36_01,22,161,95,27.269613289320336,frozen_outer_geometry,True,4.544040000321248,1.4768130001044055,0.0
M3_M_36_01,23,162,232,25.89076007107994,outer_ellipsoid,True,15.103763643298082,4.908723184071877,0.0
M3_M_36_01,23,162,232,25.89076007107994,frozen_training_template,True,5.0429762098167075,1.63896726819043,0.0
M3_M_36_01,23,162,232,25.89076007107994,frozen_outer_geometry,True,3.306890408580003,1.074739382788501,0.0
M3_M_36_01,24,173,279,25.782953113972933,outer_ellipsoid,True,11.602051586131015,3.77066676549258,0.0
M3_M_36_01,24,173,279,25.782953113972933,frozen_training_template,True,4.9604640868117205,1.6121508282138093,0.0
M3_M_36_01,24,173,279,25.782953113972933,frozen_outer_geometry,True,3.8612993086704104,1.2549222753178835,0.0
M3_M_36_01,25,181,145,27.045989725042382,outer_ellipsoid,True,14.786837355795125,4.805722140633415,0.0
M3_M_36_01,25,181,145,27.045989725042382,frozen_training_template,True,5.128755001618182,1.6668453755259092,0.0
M3_M_36_01,25,181,145,27.045989725042382,frozen_outer_geometry,True,4.584845790417269,1.4900748818856124,0.0
M3_M_36_01,26,181,325,24.840935406429786,outer_ellipsoid,True,11.939051963118363,3.880191888013468,0.0
M3_M_36_01,26,181,325,24.840935406429786,frozen_training_template,True,4.861256233856512,1.5799082760033665,0.0
M3_M_36_01,26,181,325,24.840935406429786,frozen_outer_geometry,True,4.172076491364885,1.3559248596935878,0.0
M3_M_36_01,27,185,411,26.116651944171565,outer_ellipsoid,True,22.668177043590294,7.367157539166846,0.0
M3_M_36_01,27,185,411,26.116651944171565,frozen_training_template,True,5.734745833177777,1.8637923957827776,0.0
M3_M_36_01,27,185,411,26.116651944171565,frozen_outer_geometry,True,4.116062716723548,1.3377203829351534,0.0
M3_M_36_01,28,187,368,23.81743409845698,outer_ellipsoid,True,14.101149789136814,4.582873681469465,0.0
M3_M_36_01,28,187,368,23.81743409845698,frozen_training_template,True,5.071573905020237,1.6482615191315773,0.0
M3_M_36_01,28,187,368,23.81743409845698,frozen_outer_geometry,True,4.287362148382576,1.3933926982243374,0.0
M3_M_36_01,29,193,57,25.27713321899801,outer_ellipsoid,True,10.573480697733057,3.4363812267632436,0.0
M3_M_36_01,29,193,57,25.27713321899801,frozen_training_template,True,5.021858885892731,1.6321041379151375,0.0
M3_M_36_01,29,193,57,25.27713321899801,frozen_outer_geometry,True,5.308969215351588,1.7254149949892663,0.0
M3_M_36_01,30,198,193,26.57768616392176,outer_ellipsoid,True,16.09716660178978,5.231579145581679,0.0
M3_M_36_01,30,198,193,26.57768616392176,frozen_training_template,True,4.953074483068279,1.6097492069971906,0.0
M3_M_36_01,30,198,193,26.57768616392176,frozen_outer_geometry,True,4.359652071984643,1.416886923395009,0.0
M3_M_36_01,31,212,239,24.96340060856182,outer_ellipsoid,True,11.572515348485917,3.761067488257923,0.0
M3_M_36_01,31,212,239,24.96340060856182,frozen_training_template,True,4.5602552987796745,1.4820829721033943,0.0
M3_M_36_01,31,212,239,24.96340060856182,frozen_outer_geometry,True,4.303305512770546,1.3985742916504276,0.0
M3_M_36_01,32,216,103,26.013636228058637,outer_ellipsoid,True,16.14786981277364,5.248057689151433,0.0
M3_M_36_01,32,216,103,26.013636228058637,frozen_training_template,True,5.167689003911988,1.6794989262713962,0.0
M3_M_36_01,32,216,103,26.013636228058637,frozen_outer_geometry,True,4.922256601304536,1.5997333954239743,0.0
M3_M_36_01,33,223,285,24.41391190239964,outer_ellipsoid,True,12.157837670168002,3.9512972428046007,0.0
M3_M_36_01,33,223,285,24.41391190239964,frozen_training_template,True,5.005050795268863,1.6266415084623804,0.0
M3_M_36_01,33,223,285,24.41391190239964,frozen_outer_geometry,True,4.144991945701859,1.3471223823531042,0.0
M3_M_36_01,34,229,331,23.690800127191025,outer_ellipsoid,True,18.216125651845694,5.9202408368498505,0.0
M3_M_36_01,34,229,331,23.690800127191025,frozen_training_template,True,5.0616083032217345,1.6450226985470637,0.0
M3_M_36_01,34,229,331,23.690800127191025,frozen_outer_geometry,True,3.551300403626257,1.1541726311785336,0.0
M3_M_36_01,35,231,377,22.73862021966415,outer_ellipsoid,True,14.64555302091968,4.759804731798896,0.0
M3_M_36_01,35,231,377,22.73862021966415,frozen_training_template,True,5.04167633722685,1.6385448095987263,0.0
M3_M_36_01,35,231,377,22.73862021966415,frozen_outer_geometry,True,4.654593432289565,1.5127428654941089,0.0
M3_M_36_01,36,235,151,26.306002782397705,outer_ellipsoid,True,21.727880007366288,7.061561002394043,0.0
M3_M_36_01,36,235,151,26.306002782397705,frozen_training_template,True,5.593926518716086,1.818026118582728,0.0
M3_M_36_01,36,235,151,26.306002782397705,frozen_outer_geometry,True,4.235489957844658,1.3765342362995139,0.0
M3_M_36_01,37,246,60,25.936118973897504,outer_ellipsoid,False,,,0.0
M3_M_36_01,37,246,60,25.936118973897504,frozen_training_template,False,,,0.0
M3_M_36_01,37,246,60,25.936118973897504,frozen_outer_geometry,False,,,0.0
M3_M_36_01,38,251,198,25.721023241512576,outer_ellipsoid,True,22.82674971654248,7.4186936578763065,0.0
