method,block,n,median_facet_mae_voxels,p90_facet_mae_voxels
outer_ellipsoid,pooled,62,13.493418133535453,22.02129650706628
outer_ellipsoid,0,14,21.800177124870906,24.39972409133834
outer_ellipsoid,1,16,16.41324602730969,20.35354761549126
outer_ellipsoid,2,17,11.568741621111041,16.675030765379248
outer_ellipsoid,3,15,10.256759363757034,12.458229274571746
training_shape_template,pooled,62,1.4084986079207045,2.2318914239128085
training_shape_template,0,14,1.8784565704515446,2.3918745419924927
training_shape_template,1,16,1.3923806955110838,2.0371341753064662
training_shape_template,2,17,1.2719042828596134,2.3141312809942787
training_shape_template,3,15,1.5245754535574458,1.948067799861559
outer_geometry_ridge,pooled,62,0.9836070234841129,1.834156676374077
outer_geometry_ridge,0,14,1.4543745201525962,1.8670477341441605
outer_geometry_ridge,1,16,1.0762800158666195,1.5296124384599026
outer_geometry_ridge,2,17,0.6986923462286354,1.6696882923130942
outer_geometry_ridge,3,15,0.7358749377323459,1.1334775229249459
