method,block,n,median_facet_mae_voxels,p90_facet_mae_voxels
outer_ellipsoid,pooled,60,21.91852345373431,31.82887246359741
outer_ellipsoid,0,17,12.985807570302102,15.179218827575095
outer_ellipsoid,1,19,20.516561739941327,24.230123746371717
outer_ellipsoid,2,14,27.382623548147443,29.82954718762085
outer_ellipsoid,3,10,34.3702012406423,37.20192853630066
frozen_training_template,pooled,60,4.607467492034267,5.6546030577018325
frozen_training_template,0,17,3.9794712694566865,4.331888127803218
frozen_training_template,1,19,4.56397605367997,4.925838248740945
frozen_training_template,2,14,5.101973601684751,5.53435820404695
frozen_training_template,3,10,5.640103426816344,5.952286467706001
frozen_outer_geometry,pooled,60,2.469710501025501,3.291175345372822
frozen_outer_geometry,0,17,2.03331801829792,2.518938758096351
frozen_outer_geometry,1,19,2.327814299823395,3.1606271352879927
frozen_outer_geometry,2,14,2.672364953057154,3.298212833979673
frozen_outer_geometry,3,10,3.071725613945076,3.8437370018456005
