method,block,n,median_facet_mae_voxels,p90_facet_mae_voxels,spacing_y_um,median_facet_mae_um,p90_facet_mae_um
outer_ellipsoid,pooled,60,21.91852345373431,31.82887246359741,0.325,7.123520122463651,10.344383550669159
outer_ellipsoid,0,17,12.985807570302102,15.179218827575095,0.325,4.220387460348183,4.933246118961906
outer_ellipsoid,1,19,20.516561739941327,24.230123746371717,0.325,6.667882565480932,7.874790217570808
outer_ellipsoid,2,14,27.382623548147443,29.82954718762085,0.325,8.899352653147918,9.694602835976777
outer_ellipsoid,3,10,34.3702012406423,37.20192853630066,0.325,11.170315403208749,12.090626774297716
frozen_training_template,pooled,60,4.607467492034267,5.6546030577018325,0.325,1.4974269349111369,1.8377459937530956
frozen_training_template,0,17,3.9794712694566865,4.331888127803218,0.325,1.2933281625734232,1.407863641536046
frozen_training_template,1,19,4.56397605367997,4.925838248740945,0.325,1.4832922174459904,1.600897430840807
frozen_training_template,2,14,5.101973601684751,5.53435820404695,0.325,1.6581414205475442,1.7986664163152588
frozen_training_template,3,10,5.640103426816344,5.952286467706001,0.325,1.8330336137153118,1.9344931020044505
frozen_outer_geometry,pooled,60,2.469710501025501,3.291175345372822,0.325,0.8026559128332879,1.069631987246167
frozen_outer_geometry,0,17,2.03331801829792,2.518938758096351,0.325,0.660828355946824,0.8186550963813141
frozen_outer_geometry,1,19,2.327814299823395,3.1606271352879927,0.325,0.7565396474426034,1.0272038189685977
frozen_outer_geometry,2,14,2.672364953057154,3.298212833979673,0.325,0.8685186097435751,1.0719191710433937
frozen_outer_geometry,3,10,3.071725613945076,3.8437370018456005,0.325,0.9983108245321497,1.2492145255998202
