test,training_regions,region,cone_id,depth_start,depth_stop,nodes,observed_skew_1,observed_skew_2,predicted_skew_1,predicted_skew_2,normal_path_rmse_voxels,transferred_path_rmse_voxels,oracle_straight_path_rmse_voxels,normal_endpoint_error_voxels,transferred_endpoint_error_voxels
patch_2,patch_1,patch_2,1,30.0,60.0,31,-0.2580534379942077,-0.24879513949414991,-0.1755390335467471,-0.1678942498892555,6.01689605337624,1.859126431363994,0.43337096339186865,10.210564378652649,2.9379019278403655
patch_2,patch_1,patch_2,2,30.0,60.0,31,-0.19849129675336477,-0.1880866483536834,-0.1755390335467471,-0.1678942498892555,4.443825377725763,0.5992387668337404,0.4197658160532385,7.684698871500231,0.4190288757299334
patch_2,patch_1,patch_2,3,31.0,60.0,30,-0.28612613456613006,-0.1473522827936871,-0.1755390335467471,-0.1678942498892555,5.630705780034504,2.1741058157206656,0.46586502993646406,9.138346831598755,3.5581916216174876
patch_2,patch_1,patch_2,4,30.0,60.0,31,-0.2534501240810368,-0.28330211008080225,-0.1755390335467471,-0.1678942498892555,6.204265745868167,2.0427349875904426,0.49225593954203645,11.062785131936343,3.8206717423744445
patch_2,patch_1,patch_2,5,30.0,60.0,31,-0.18525000680770992,-0.2692399721745352,-0.1755390335467471,-0.1678942498892555,5.44589724989951,1.6435346735804603,0.3506364027631605,9.157994420842996,2.7907803271155083
patch_3,patch_1+patch_2,patch_3,2,11.0,18.0,8,-0.29497064135993495,0.4127440014761021,-0.19187065178053736,-0.1821245509970249,1.948223904242591,2.3538810325122412,0.31090677534815503,3.3002071053702817,4.032004359542705
patch_3,patch_1+patch_2,patch_3,3,12.0,19.0,8,-0.1354316097902156,0.3908017512848939,-0.19187065178053736,-0.1821245509970249,1.4974134774437051,2.2204128330075963,0.2889719771875321,2.6092438381996006,3.7652946069446314
patch_3,patch_1+patch_2,patch_3,4,10.0,17.0,8,-0.2408138589674933,0.3888533675593833,-0.19187065178053736,-0.1821245509970249,1.7408809407740609,2.2005056013404674,0.3850773383464963,2.6283656551423706,3.566922019085262
patch_3,patch_1+patch_2,patch_3,5,11.0,17.0,7,-0.21730714988569155,0.5296379493174104,-0.19187065178053736,-0.1821245509970249,1.7669571445369636,2.2465735798547057,0.45612335720701364,3.3590852634797552,4.088921896031218
patch_3,patch_1+patch_2,patch_3,6,10.0,19.0,10,-0.28982986560352636,0.3527668914274708,-0.19187065178053736,-0.1821245509970249,1.9282060590636532,2.5003181474369507,0.5390571373992215,3.749779174703334,4.660293409833094
patch_3,patch_1+patch_2,patch_3,7,11.0,25.0,15,-0.25274455338413565,0.6402711983306,-0.19187065178053736,-0.1821245509970249,6.013844889598314,7.061591447477954,0.6362373897911525,9.57696845421448,11.326111597437722
patch_3,patch_1+patch_2,patch_3,8,23.0,32.0,10,-0.24880317432627147,0.5340214640976092,-0.19187065178053736,-0.1821245509970249,2.888110254495675,3.5602352239542996,0.35137686587743366,5.109616325770049,6.307806580450749
patch_3,patch_1+patch_2,patch_3,9,24.0,42.0,17,-0.18462556575598055,0.4824187074196544,-0.19187065178053736,-0.1821245509970249,4.327808969584896,5.604202411026536,0.6133161803953069,8.901368898673546,11.387579349382257
patch_3,patch_1+patch_2,patch_3,10,23.0,36.0,14,-0.17585523756879462,0.6755554220820035,-0.19187065178053736,-0.1821245509970249,5.088395700990967,6.269389612331989,0.43595987043304274,8.914740326674114,10.758529847216268
patch_3,patch_1+patch_2,patch_3,11,21.0,29.0,9,-0.0704506596182634,0.5508609926309358,-0.19187065178053736,-0.1821245509970249,2.948078580062051,3.5169123638215734,0.6699370358823273,4.604162560783371,5.890771118485484
patch_3,patch_1+patch_2,patch_3,12,21.0,32.0,12,-0.20759115899454766,0.8523496135015605,-0.19187065178053736,-0.1821245509970249,5.714151506854025,6.84986420267092,0.580187001311321,9.790965495217081,11.680820195597638
