cone_id,nodes,depth_start,depth_stop,maximum_uv_step_voxels,continuity_pass,audit_note
1,38,17.0,60.0,2.8957579089488807,True,
2,24,32.0,55.0,1.037306335800501,True,
3,24,33.0,56.0,1.4023162491646783,True,
4,41,15.0,60.0,1.3620499473675438,True,
5,4,0.0,9.0,0.9631147540983633,False,fewer than 6 nodes
6,37,18.0,60.0,2.466777370158554,True,
7,38,16.0,60.0,2.3114754098360635,True,
8,3,0.0,2.0,0.43071801205939325,False,fewer than 6 nodes
9,12,17.0,28.0,1.23338868507928,True,
10,40,16.0,60.0,1.744275006116642,True,
11,28,33.0,60.0,2.436509016851044,True,
12,25,32.0,60.0,3.9710238607383213,True,
13,25,34.0,60.0,2.4365090168510477,True,
14,17,31.0,48.0,2.1962395483467008,True,
15,29,32.0,60.0,2.1962395483467017,True,
