sample,fold,method,mae_intensity,normalised_mae,correlation,centre_error_voxels_affine,centre_error_voxels_translation,centre_error_voxels_outer_only
1,0,background,9.700405604719764,0.1763710109949048,0.6375070083517645,5.331595438149275,2.8284271247461903,6.082762530298219
1,0,global_population,10.539222059052438,0.19162221925549888,0.5377466629631508,5.331595438149275,2.8284271247461903,6.082762530298219
1,0,axisymmetric_population,9.85405117004954,0.17916456672817346,0.5601915578511152,5.331595438149275,2.8284271247461903,6.082762530298219
1,0,nearest_cone,11.921447558666614,0.2167535919757566,0.534546567822198,5.331595438149275,2.8284271247461903,6.082762530298219
1,0,local_population,10.708481228063542,0.1946996586920644,0.5168847987092898,5.331595438149275,2.8284271247461903,6.082762530298219
2,0,background,9.425700589970502,0.17455001092537967,0.6369344533945491,4.130659296783218,1.4142135623730951,5.385164807134504
2,0,global_population,11.943718685067168,0.22117997564939199,0.383620354406715,4.130659296783218,1.4142135623730951,5.385164807134504
2,0,axisymmetric_population,10.100341658374848,0.18704336404397867,0.49285637591719916,4.130659296783218,1.4142135623730951,5.385164807134504
2,0,nearest_cone,13.540651412111217,0.2507528039279855,0.3710059412190868,4.130659296783218,1.4142135623730951,5.385164807134504
2,0,local_population,12.00881596546072,0.22238548084186519,0.3740938341970653,4.130659296783218,1.4142135623730951,5.385164807134504
5,0,background,8.331674041297935,0.15429026002403584,0.6893040476801742,3.144636664054567,1.0,5.656854249492381
5,0,global_population,10.248699199165,0.18979072591046295,0.4944861398736365,3.144636664054567,1.0,5.656854249492381
5,0,axisymmetric_population,8.778558199450151,0.1625658925824102,0.5704638286095676,3.144636664054567,1.0,5.656854249492381
5,0,nearest_cone,11.341312268671471,0.21002430127169391,0.47424398171123733,3.144636664054567,1.0,5.656854249492381
5,0,local_population,10.577258249256836,0.1958751527640155,0.4768914642981899,3.144636664054567,1.0,5.656854249492381
6,0,background,9.252765486725664,0.1909755518416037,0.6685998817187275,1.9413349024418116,1.0,4.242640687119285
6,0,global_population,8.77373021112139,0.18108834285080336,0.6581089736073301,1.9413349024418116,1.0,4.242640687119285
6,0,axisymmetric_population,8.621113169846486,0.1779383523188136,0.6443742369798049,1.9413349024418116,1.0,4.242640687119285
6,0,nearest_cone,9.769665566008166,0.2016442841281363,0.6199720739139652,1.9413349024418116,1.0,4.242640687119285
6,0,local_population,7.963571166905838,0.1643667939505855,0.712067470573147,1.9413349024418116,1.0,4.242640687119285
7,0,background,9.14915191740413,0.19060733161258603,0.6454693797495967,2.891967775940813,4.123105625617661,8.602325267042627
7,0,global_population,10.383920087665329,0.21633166849302768,0.4925134313365229,2.891967775940813,4.123105625617661,8.602325267042627
7,0,axisymmetric_population,8.88310112477014,0.1850646067660446,0.5749796308739895,2.891967775940813,4.123105625617661,8.602325267042627
7,0,nearest_cone,11.000041092946736,0.22916752276972366,0.5227044652614911,2.891967775940813,4.123105625617661,8.602325267042627
7,0,local_population,10.55100916020387,0.21981269083758062,0.4972085808937467,2.891967775940813,4.123105625617661,8.602325267042627
8,0,background,9.073561946902656,0.17119928201703125,0.647084318360626,1.8048307191767698,1.0,5.656854249492381
8,0,global_population,8.684188258319596,0.16385260864753953,0.6590902473185135,1.8048307191767698,1.0,5.656854249492381
8,0,axisymmetric_population,8.117813671631964,0.15316629569116913,0.6707021732158265,1.8048307191767698,1.0,5.656854249492381
8,0,nearest_cone,10.565640550950631,0.19935170850850248,0.5560129876348182,1.8048307191767698,1.0,5.656854249492381
8,0,local_population,8.974577019220154,0.1693316418720784,0.638418842022358,1.8048307191767698,1.0,5.656854249492381
11,0,background,9.447824483775811,0.18525146046619237,0.6423643115632292,4.763467156048062,3.1622776601683795,7.280109889280518
11,0,global_population,11.770730904003688,0.23079864517654292,0.3951856850737017,4.763467156048062,3.1622776601683795,7.280109889280518
11,0,axisymmetric_population,9.728724417973496,0.1907593023132058,0.5398278042675051,4.763467156048062,3.1622776601683795,7.280109889280518
11,0,nearest_cone,12.752090593854696,0.2500409920363666,0.3817400835034238,4.763467156048062,3.1622776601683795,7.280109889280518
11,0,local_population,11.94637521302092,0.2342426512357043,0.38988575303058404,4.763467156048062,3.1622776601683795,7.280109889280518
12,0,background,9.460730088495575,0.20129212954245904,0.6509521688747616,2.6405006779926596,1.4142135623730951,5.385164807134504
12,0,global_population,10.60149730910118,0.22556377253406767,0.4936546154398026,2.6405006779926596,1.4142135623730951,5.385164807134504
12,0,axisymmetric_population,9.320623804112941,0.19831114476836045,0.5746366446922616,2.6405006779926596,1.4142135623730951,5.385164807134504
12,0,nearest_cone,10.225649769900498,0.21756701638086165,0.5985368324950432,2.6405006779926596,1.4142135623730951,5.385164807134504
12,0,local_population,11.184544743281506,0.23796903709109588,0.47687356290286986,2.6405006779926596,1.4142135623730951,5.385164807134504
19,1,background,10.58296460176991,0.24052192276749798,0.5170315866977029,0.8080922096042173,1.4142135623730951,5.656854249492381
19,1,global_population,9.19642200498357,0.20900959102235384,0.64096346290506,0.8080922096042173,1.4142135623730951,5.656854249492381
19,1,axisymmetric_population,9.43302810989519,0.21438700249761797,0.6073838305293345,0.8080922096042173,1.4142135623730951,5.656854249492381
19,1,nearest_cone,7.9308400752229335,0.18024636534597577,0.728259137594328,0.8080922096042173,1.4142135623730951,5.656854249492381
19,1,local_population,7.9294308412606815,0.18021433730137912,0.7053296341876478,0.8080922096042173,1.4142135623730951,5.656854249492381
20,1,background,11.535766961651918,0.2507775426446069,0.3954040555019306,2.3683415004481585,2.0,5.0990195135927845
20,1,global_population,11.120265535480582,0.24174490294523004,0.49289636809081594,2.3683415004481585,2.0,5.0990195135927845
20,1,axisymmetric_population,10.865238355761441,0.2362008338209009,0.4473710220571581,2.3683415004481585,2.0,5.0990195135927845
20,1,nearest_cone,10.384801948905354,0.22575656410663814,0.5800281797755953,2.3683415004481585,2.0,5.0990195135927845
20,1,local_population,10.021898246800536,0.217867353191316,0.5818430306667679,2.3683415004481585,2.0,5.0990195135927845
0,2,background,10.361910029498524,0.18178789525436007,0.6582832598237042,5.487529456604438,2.8284271247461903,5.0
0,2,global_population,12.36825506405821,0.21698693094838967,0.4223083221612093,5.487529456604438,2.8284271247461903,5.0
0,2,axisymmetric_population,10.482974767268116,0.18391183802224764,0.5799139240516196,5.487529456604438,2.8284271247461903,5.0
0,2,nearest_cone,12.831696985943443,0.2251174909814639,0.3892738385534439,5.487529456604438,2.8284271247461903,5.0
0,2,local_population,12.132050115902544,0.21284298448951833,0.4358658898658165,5.487529456604438,2.8284271247461903,5.0
3,2,background,9.444505899705014,0.19676053957718778,0.6255766429152299,4.798102844619333,3.605551275463989,5.830951894845301
3,2,global_population,11.832173433376585,0.24650361319534553,0.3261781891120468,4.798102844619333,3.605551275463989,5.830951894845301
3,2,axisymmetric_population,9.959217081663796,0.2074836892013291,0.4860617878308701,4.798102844619333,3.605551275463989,5.830951894845301
3,2,nearest_cone,12.783952638614199,0.2663323466377958,0.282555086490312,4.798102844619333,3.605551275463989,5.830951894845301
3,2,local_population,12.009181836002464,0.2501912882500513,0.3120519560116411,4.798102844619333,3.605551275463989,5.830951894845301
4,2,background,9.147676991150442,0.16940142576204523,0.6747493139809955,2.2966906739108026,2.23606797749979,7.615773105863909
4,2,global_population,7.511649055130559,0.1391046121320474,0.7832766436811354,2.2966906739108026,2.23606797749979,7.615773105863909
4,2,axisymmetric_population,7.693001794666892,0.14246299619753502,0.7410198602508096,2.2966906739108026,2.23606797749979,7.615773105863909
4,2,nearest_cone,7.380114552905149,0.13666878801676202,0.8117985270685038,2.2966906739108026,2.23606797749979,7.615773105863909
4,2,local_population,6.876409772488419,0.1273409217127485,0.812562620389344,2.2966906739108026,2.23606797749979,7.615773105863909
9,2,background,9.293694690265486,0.17535273000500917,0.6655666960234319,5.691725900011248,3.1622776601683795,3.605551275463989
9,2,global_population,11.360038384218237,0.2143403468720422,0.4040255635476719,5.691725900011248,3.1622776601683795,3.605551275463989
9,2,axisymmetric_population,9.415213191216994,0.1776455319097546,0.5936375714498006,5.691725900011248,3.1622776601683795,3.605551275463989
9,2,nearest_cone,12.302417108530275,0.23212107751943914,0.381819875943701,5.691725900011248,3.1622776601683795,3.605551275463989
9,2,local_population,11.25523888814614,0.21236299788954982,0.4349873874216105,5.691725900011248,3.1622776601683795,3.605551275463989
10,3,background,8.924041297935103,0.16837813769688875,0.6934001411780257,3.7000994534569838,3.905124837953327,7.0710678118654755
10,3,global_population,11.976017450978661,0.22596259341469171,0.37714832276483834,3.7000994534569838,3.905124837953327,7.0710678118654755
10,3,axisymmetric_population,9.529126608528092,0.17979484167034135,0.5399569819035125,3.7000994534569838,3.905124837953327,7.0710678118654755
10,3,nearest_cone,12.979309703584676,0.244892635916692,0.3346306545390168,3.7000994534569838,3.905124837953327,7.0710678118654755
10,3,local_population,12.117138025082184,0.22862524575626764,0.3620737219067689,3.7000994534569838,3.905124837953327,7.0710678118654755
14,3,background,7.776917404129794,0.15553834808259587,0.7097536132776309,1.6655110826523405,1.8027756377319946,5.385164807134504
14,3,global_population,9.247286304897758,0.18494572609795515,0.5694047221877344,1.6655110826523405,1.8027756377319946,5.385164807134504
14,3,axisymmetric_population,8.022215897273659,0.16044431794547317,0.6448694223293194,1.6655110826523405,1.8027756377319946,5.385164807134504
14,3,nearest_cone,11.011102531841152,0.22022205063682304,0.49748973087823106,1.6655110826523405,1.8027756377319946,5.385164807134504
14,3,local_population,9.602404215496891,0.19204808430993783,0.5229797468922751,1.6655110826523405,1.8027756377319946,5.385164807134504
15,3,background,8.360250737463128,0.16720501474926255,0.694406481919131,2.541973120147214,2.692582403567252,5.0990195135927845
15,3,global_population,10.783188249537343,0.21566376499074685,0.49136050140760634,2.541973120147214,2.692582403567252,5.0990195135927845
15,3,axisymmetric_population,9.126577963816032,0.18253155927632064,0.5767176102496648,2.541973120147214,2.692582403567252,5.0990195135927845
15,3,nearest_cone,12.522171436775647,0.25044342873551295,0.4411907939394903,2.541973120147214,2.692582403567252,5.0990195135927845
15,3,local_population,10.891973151631003,0.21783946303262006,0.4910101249478294,2.541973120147214,2.692582403567252,5.0990195135927845
13,4,background,8.06047197640118,0.16449942808982,0.7021953658744351,4.89277146531658,4.47213595499958,5.0990195135927845
13,4,global_population,10.51219823196313,0.2145346577951659,0.4595579091439792,4.89277146531658,4.47213595499958,5.0990195135927845
13,4,axisymmetric_population,8.703681250064022,0.17762614796049025,0.5948955799641762,4.89277146531658,4.47213595499958,5.0990195135927845
13,4,nearest_cone,11.858792794372912,0.2420161794769982,0.3735748241193751,4.89277146531658,4.47213595499958,5.0990195135927845
13,4,local_population,10.355910514863847,0.2113451125482418,0.460476492117798,4.89277146531658,4.47213595499958,5.0990195135927845
16,4,background,8.997418879056047,0.18362079345012342,0.625675488415499,2.5450923509195316,2.8284271247461903,3.1622776601683795
16,4,global_population,11.067580808641093,0.2258689960947162,0.3862981607580607,2.5450923509195316,2.8284271247461903,3.1622776601683795
16,4,axisymmetric_population,9.752465355247134,0.19902990520912517,0.4645418528161201,2.5450923509195316,2.8284271247461903,3.1622776601683795
16,4,nearest_cone,11.921374734493138,0.2432933619284314,0.40675300036358947,2.5450923509195316,2.8284271247461903,3.1622776601683795
16,4,local_population,10.66876024460082,0.21772980091022082,0.40221056609001915,2.5450923509195316,2.8284271247461903,3.1622776601683795
17,4,background,9.368731563421829,0.19933471411535805,0.5981052628127045,4.234854691727046,3.605551275463989,9.219544457292887
