method,cv_block,median_facet_MAE_um,facets
axisymmetric_ellipsoid,0,6.693944467836671,14
axisymmetric_ellipsoid,1,13.954549342819917,15
axisymmetric_ellipsoid,2,16.754478555665578,6
axisymmetric_ellipsoid,3,16.199411717040448,26
axisymmetric_ellipsoid,4,9.993843575670375,13
flat_depth,0,7.259775562469211,14
flat_depth,1,15.248468104059803,15
flat_depth,2,19.118974153502055,6
flat_depth,3,16.771935814804323,26
flat_depth,4,11.103267636428846,13
local_outer_curvature,0,8.070579509524086,14
local_outer_curvature,1,13.850400038860283,15
local_outer_curvature,2,12.659125031552769,6
local_outer_curvature,3,16.717898242293636,26
local_outer_curvature,4,10.177697103975202,13
outer_curvature,0,6.948568462249783,14
outer_curvature,1,10.148606430393002,15
outer_curvature,2,16.348161209048534,6
outer_curvature,3,13.42571293115291,26
outer_curvature,4,11.450953997320706,13
position_plus_outer,0,6.3540346529746685,14
position_plus_outer,1,7.633631697892969,15
position_plus_outer,2,19.062847865690518,6
position_plus_outer,3,10.501785848433759,26
position_plus_outer,4,7.517464685206768,13
position_smoother,0,5.388150171259143,14
position_smoother,1,7.538563121225631,15
position_smoother,2,15.4816032319227,6
position_smoother,3,9.10442414533404,26
position_smoother,4,8.078611775604227,13
quadratic_surface,0,6.655684864922405,14
quadratic_surface,1,13.978434284661638,15
quadratic_surface,2,16.704113522335906,6
quadratic_surface,3,16.358568921369336,26
quadratic_surface,4,9.95339017263517,13
repeat_template,0,6.6272984892847635,14
repeat_template,1,13.948997719082774,15
repeat_template,2,16.596680125996258,6
repeat_template,3,16.32779761566853,26
repeat_template,4,10.025942481455223,13
six_neighbor_prior,0,7.185883519237999,14
six_neighbor_prior,1,7.649762174541683,15
six_neighbor_prior,2,6.192564449007872,6
six_neighbor_prior,3,9.572220298564808,26
six_neighbor_prior,4,7.941835449914845,13
