method,heldout_block,calibrated_half_width_um,median_facet_point_coverage,facets_with_at_least_90pct_coverage,heldout_facets
flat_depth,0,30.4940117035065,1.0,14,14
flat_depth,1,32.80695146021742,1.0,14,15
flat_depth,2,28.982713136386632,0.9346590909090908,3,6
flat_depth,3,24.72228291368085,1.0,16,26
flat_depth,4,30.93556799642935,1.0,11,13
axisymmetric_ellipsoid,0,29.813130277004383,1.0,14,14
axisymmetric_ellipsoid,1,29.636600141341752,1.0,14,15
axisymmetric_ellipsoid,2,27.855654632390234,0.9715909090909092,4,6
axisymmetric_ellipsoid,3,23.560478200681775,0.9283221763281584,14,26
axisymmetric_ellipsoid,4,28.716893299108726,1.0,11,13
quadratic_surface,0,29.407107005042814,1.0,14,14
quadratic_surface,1,29.448886587399404,1.0,14,15
quadratic_surface,2,28.013083044377183,0.9744318181818181,4,6
quadratic_surface,3,23.113099733328667,0.8945339603731401,12,26
quadratic_surface,4,28.762582833093617,1.0,12,13
local_outer_curvature,0,30.613790345010162,1.0,13,14
local_outer_curvature,1,28.32731405831908,1.0,11,15
local_outer_curvature,2,27.34743106414879,0.9965753424657534,4,6
local_outer_curvature,3,23.266110450280145,0.9279194436395248,14,26
local_outer_curvature,4,31.534500275098694,1.0,12,13
outer_curvature,0,30.96067625999163,1.0,14,14
outer_curvature,1,37.93496074892201,1.0,15,15
outer_curvature,2,21.032502487020516,0.7988956466069141,1,6
outer_curvature,3,23.75174189815663,1.0,24,26
outer_curvature,4,32.53905291527079,1.0,13,13
repeat_template,0,30.5179486494454,1.0,14,14
repeat_template,1,29.346953426722404,1.0,14,15
repeat_template,2,27.50710550317314,0.9715909090909092,4,6
repeat_template,3,23.049998000745532,0.8991211163364429,12,26
repeat_template,4,28.537753407531575,0.9948186528497409,10,13
six_neighbor_prior,0,22.62566581354385,1.0,12,14
six_neighbor_prior,1,24.554708221554705,1.0,15,15
six_neighbor_prior,2,18.974311601140503,0.9820881812614819,6,6
six_neighbor_prior,3,17.70776739372143,0.9733762663944082,22,26
six_neighbor_prior,4,20.306826824117227,0.9922480620155039,12,13
position_smoother,0,39.095672299408534,1.0,14,14
position_smoother,1,23.891899378269976,1.0,14,15
position_smoother,2,19.558439069147006,0.7532659726474791,1,6
position_smoother,3,20.548092961892948,0.9556662923451245,17,26
position_smoother,4,27.081013861530778,1.0,13,13
position_plus_outer,0,40.64850609178568,1.0,14,14
position_plus_outer,1,32.338831490674565,1.0,15,15
position_plus_outer,2,19.759321400047924,0.5856164383561644,1,6
position_plus_outer,3,20.452070867148457,0.9392490941330661,15,26
position_plus_outer,4,29.039133371749326,1.0,13,13
