region_a,label_a,region_b,label_b,overlap_voxels,intersection_over_union,overlap_fraction_smaller
1,3,2,180,21,0.3888888888888889,0.7
1,50,2,610,4,0.005578800557880056,0.02857142857142857
1,50,2,616,11,0.04932735426008968,0.11702127659574468
1,54,2,141,25,0.4807692307692308,0.8333333333333334
1,60,2,129,17,0.3333333333333333,0.7391304347826086
1,61,2,595,2,0.002171552660152009,0.01652892561983471
1,61,2,610,18,0.02631578947368421,0.1487603305785124
1,62,2,114,16,0.058394160583941604,0.8888888888888888
1,63,2,153,13,0.2708333333333333,0.8666666666666667
1,64,2,166,22,0.3492063492063492,0.88
1,65,2,181,13,0.28888888888888886,0.5652173913043478
1,67,2,193,7,0.1794871794871795,0.4117647058823529
1,68,2,192,7,0.18421052631578946,0.5384615384615384
1,69,2,197,18,0.24,0.6923076923076923
1,70,2,210,10,0.25,0.7142857142857143
1,99,2,115,9,0.1956521739130435,0.6
1,100,2,128,17,0.1,0.7727272727272727
1,118,2,595,32,0.03567447045707915,0.25196850393700787
1,128,2,849,52,0.5048543689320388,0.8253968253968254
1,131,2,581,22,0.15714285714285714,0.5116279069767442
1,131,2,608,1,0.008403361344537815,0.023255813953488372
1,136,2,723,49,0.4375,0.9074074074074074
1,137,2,419,47,0.31333333333333335,0.7966101694915254
1,138,2,727,47,0.3949579831932773,0.7704918032786885
1,139,2,969,43,0.4387755102040816,0.86
1,140,2,861,53,0.4732142857142857,0.7681159420289855
1,142,2,610,43,0.0688,0.4942528735632184
1,145,2,411,23,0.17293233082706766,0.4791666666666667
1,147,2,629,4,0.045454545454545456,0.10526315789473684
1,147,2,1277,5,0.078125,0.3333333333333333
1,148,2,578,44,0.26506024096385544,0.5569620253164557
1,149,2,872,36,0.3564356435643564,0.8
1,150,2,967,37,0.36633663366336633,0.8043478260869565
1,155,2,670,46,0.4380952380952381,0.7419354838709677
1,157,2,746,53,0.4818181818181818,0.7361111111111112
1,160,2,595,43,0.04931192660550459,0.3805309734513274
1,161,2,610,41,0.06497622820919176,0.45054945054945056
1,162,2,573,1,0.0030120481927710845,0.02
1,164,2,710,45,0.05154639175257732,0.703125
1,165,2,715,43,0.36752136752136755,0.9148936170212766
1,168,2,966,47,0.5280898876404494,0.8703703703703703
1,170,2,968,33,0.33,0.8048780487804879
1,171,2,717,45,0.4166666666666667,0.8490566037735849
1,178,2,970,44,0.4835164835164835,0.88
1,181,2,971,47,0.46078431372549017,0.7704918032786885
1,184,2,485,50,0.27932960893854747,0.6172839506172839
1,188,2,595,1,0.001034126163391934,0.006024096385542169
1,188,2,790,58,0.25892857142857145,0.5
1,188,2,831,2,0.007168458781362007,0.017391304347826087
1,189,2,595,1,0.00117096018735363,0.018867924528301886
1,189,2,840,19,0.1347517730496454,0.3584905660377358
1,190,2,696,44,0.2802547770700637,0.5365853658536586
1,191,2,610,60,0.09630818619582665,0.5882352941176471
1,196,2,962,57,0.4830508474576271,0.8636363636363636
1,198,2,871,46,0.42592592592592593,0.8518518518518519
1,199,2,662,49,0.21120689655172414,0.875
1,210,2,520,62,0.2719298245614035,0.4460431654676259
1,213,2,615,1,0.0017452006980802793,0.010638297872340425
1,213,2,795,62,0.38271604938271603,0.6595744680851063
1,214,2,573,48,0.15434083601286175,0.631578947368421
1,217,2,1083,48,0.48,0.8135593220338984
1,224,2,987,35,0.3723404255319149,0.7446808510638298
1,225,2,710,48,0.05542725173210162,0.8
1,225,2,958,1,0.00392156862745098,0.016666666666666666
1,233,2,615,89,0.1100123609394314,0.21291866028708134
1,233,2,783,75,0.1662971175166297,0.6944444444444444
1,233,2,837,61,0.12978723404255318,0.5398230088495575
1,237,2,839,63,0.4846153846153846,0.7078651685393258
1,239,2,615,48,0.09125475285171103,0.5106382978723404
1,247,2,904,43,0.40186915887850466,0.6515151515151515
1,249,2,964,47,0.3949579831932773,0.9038461538461539
1,252,2,815,19,0.2087912087912088,0.8636363636363636
1,257,2,831,64,0.3386243386243386,0.5565217391304348
1,261,2,615,70,0.1388888888888889,0.7446808510638298
1,270,2,891,29,0.3118279569892473,0.58
1,271,2,903,43,0.4174757281553398,0.7288135593220338
1,272,2,905,40,0.40816326530612246,0.7017543859649122
1,273,2,1019,40,0.40404040404040403,0.6666666666666666
1,274,2,265,52,0.00472684301427143,0.8
1,275,2,710,45,0.05190311418685121,0.7758620689655172
1,286,2,676,34,0.3333333333333333,0.8717948717948718
1,288,2,496,46,0.2911392405063291,0.6865671641791045
1,289,2,495,61,0.34269662921348315,0.8591549295774648
1,290,2,505,52,0.2905027932960894,0.7123287671232876
1,291,2,1084,76,0.6031746031746031,0.8
1,303,2,1000,36,0.4675324675324675,0.8
1,306,2,900,4,0.05405405405405406,0.16666666666666666
1,306,2,1157,34,0.4473684210526316,0.6296296296296297
1,311,2,1178,43,0.4673913043478261,0.7413793103448276
1,312,2,265,53,0.004815555151735417,0.7464788732394366
1,313,2,1049,2,0.012578616352201259,0.029850746268656716
1,313,2,1050,48,0.4485981308411215,0.7164179104477612
1,314,2,265,50,0.004545041359876375,0.7936507936507936
1,315,2,958,49,0.2413793103448276,0.875
1,316,2,265,43,0.003909801782142208,0.8113207547169812
1,317,2,960,39,0.39,0.8297872340425532
1,320,2,844,21,0.22340425531914893,0.45652173913043476
1,337,2,1058,58,0.5576923076923077,0.8055555555555556
1,339,2,1059,47,0.42342342342342343,0.6025641025641025
1,341,2,973,69,0.5307692307692308,0.7419354838709677
1,342,2,779,16,0.060836501901140684,0.2191780821917808
1,343,2,779,68,0.3008849557522124,0.7727272727272727
1,347,2,615,24,0.044444444444444446,0.2857142857142857
1,352,2,1186,8,0.07142857142857142,0.14545454545454545
1,352,2,1216,19,0.18811881188118812,0.34545454545454546
1,353,2,984,16,0.07111111111111111,0.48484848484848486
1,354,2,1187,1,0.00980392156862745,0.020833333333333332
1,355,2,1290,26,0.32098765432098764,0.5909090909090909
1,357,2,996,1,0.013888888888888888,0.041666666666666664
1,357,2,1187,24,0.3,0.4897959183673469
1,358,2,1005,1,0.015625,0.058823529411764705
1,358,2,1156,29,0.3717948717948718,0.6041666666666666
1,359,2,897,39,0.36792452830188677,0.7222222222222222
1,362,2,634,22,0.20952380952380953,0.4074074074074074
1,368,2,906,45,0.39473684210526316,0.7377049180327869
1,373,2,907,47,0.43119266055045874,0.8103448275862069
1,377,2,1026,51,0.4322033898305085,0.8225806451612904
1,380,2,935,48,0.42105263157894735,0.6857142857142857
1,381,2,937,48,0.24242424242424243,0.6956521739130435
1,382,2,937,50,0.2617801047120419,0.78125
1,383,2,1114,48,0.4897959183673469,0.6666666666666666
1,385,2,265,48,0.004362050163576881,0.75
